Replication,Cheng 2018,Allocation concealment,Unclear,,Original,Cheng 2018,Allocation concealment,Unclear
Replication,Ma 2013,Allocation concealment,Unclear,,Original,Ma 2013,Allocation concealment,High
Replication,Kitagawa 2018,Allocation concealment,Unclear,,Original,Kitagawa 2018,Allocation concealment,Unclear
Replication,Hahn 2011,Allocation concealment,Unclear,,Original,Hahn 2011,Allocation concealment,Unclear
Replication,Hoda 2013,Allocation concealment,Unclear,,Original,Hoda 2013,Allocation concealment,Low
Replication,Pignataro 2013,Allocation concealment,Unclear,,Original,Pignataro 2013,Allocation concealment,Unclear
Replication,Qi 2016,Allocation concealment,Unclear,,Original,Qi 2016,Allocation concealment,Unclear
Replication,Chen 2018,Allocation concealment,Unclear,,Original,Chen 2018,Allocation concealment,Unclear
Replication,Chen 2018b,Allocation concealment,Unclear,,Original,Chen 2018b,Allocation concealment,High
Replication,Xia 2016,Allocation concealment,Unclear,,Original,Xia 2016,Allocation concealment,Unclear
Replication,Liang 2018,Allocation concealment,Unclear,,Original,Liang 2018,Allocation concealment,Unclear
Replication,Liu 2014,Allocation concealment,Unclear,,Original,Liu 2014,Allocation concealment,Unclear
Replication,Shan 2013,Allocation concealment,Unclear,,Original,Shan 2013,Allocation concealment,High
Replication,Liu 2019,Allocation concealment,Unclear,,Original,Liu 2019,Allocation concealment,Unclear
Replication,Doeppner 2018,Allocation concealment,Unclear,,Original,Doeppner 2018,Allocation concealment,Unclear
Replication,Liu 2018,Allocation concealment,Unclear,,Original,Liu 2018,Allocation concealment,Unclear
Replication,Cheng 2014,Allocation concealment,Unclear,,Original,Cheng 2014,Allocation concealment,High
Replication,Kong 2013,Allocation concealment,Unclear,,Original,Kong 2013,Allocation concealment,Unclear
Replication,Bonova 2016,Allocation concealment,Unclear,,Original,Bonova 2016,Allocation concealment,Unclear
Replication,Cheng 2018,Baseline characteristics,Unclear,,Original,Cheng 2018,Baseline characteristics,Unclear
Replication,Ma 2013,Baseline characteristics,Unclear,,Original,Ma 2013,Baseline characteristics,Unclear
Replication,Kitagawa 2018,Baseline characteristics,Unclear,,Original,Kitagawa 2018,Baseline characteristics,Unclear
Replication,Hahn 2011,Baseline characteristics,Unclear,,Original,Hahn 2011,Baseline characteristics,Unclear
Replication,Hoda 2013,Baseline characteristics,Unclear,,Original,Hoda 2013,Baseline characteristics,Unclear
Replication,Pignataro 2013,Baseline characteristics,Unclear,,Original,Pignataro 2013,Baseline characteristics,Unclear
Replication,Qi 2016,Baseline characteristics,Unclear,,Original,Qi 2016,Baseline characteristics,Unclear
Replication,Chen 2018,Baseline characteristics,Low,,Original,Chen 2018,Baseline characteristics,Unclear
Replication,Chen 2018b,Baseline characteristics,Unclear,,Original,Chen 2018b,Baseline characteristics,Unclear
Replication,Xia 2016,Baseline characteristics,Unclear,,Original,Xia 2016,Baseline characteristics,Unclear
Replication,Liang 2018,Baseline characteristics,Unclear,,Original,Liang 2018,Baseline characteristics,Unclear
Replication,Liu 2014,Baseline characteristics,Unclear,,Original,Liu 2014,Baseline characteristics,Unclear
Replication,Shan 2013,Baseline characteristics,Unclear,,Original,Shan 2013,Baseline characteristics,Unclear
Replication,Liu 2019,Baseline characteristics,Unclear,,Original,Liu 2019,Baseline characteristics,Unclear
Replication,Doeppner 2018,Baseline characteristics,Unclear,,Original,Doeppner 2018,Baseline characteristics,Unclear
Replication,Liu 2018,Baseline characteristics,Unclear,,Original,Liu 2018,Baseline characteristics,Unclear
Replication,Cheng 2014,Baseline characteristics,Unclear,,Original,Cheng 2014,Baseline characteristics,Unclear
Replication,Kong 2013,Baseline characteristics,Unclear,,Original,Kong 2013,Baseline characteristics,Unclear
Replication,Bonova 2016,Baseline characteristics,Unclear,,Original,Bonova 2016,Baseline characteristics,Unclear
Replication,Cheng 2018,Blinded caregivers,Unclear,,Original,Cheng 2018,Blinded caregivers,High
Replication,Ma 2013,Blinded caregivers,Unclear,,Original,Ma 2013,Blinded caregivers,High
Replication,Kitagawa 2018,Blinded caregivers,Unclear,,Original,Kitagawa 2018,Blinded caregivers,Unclear
Replication,Hahn 2011,Blinded caregivers,Unclear,,Original,Hahn 2011,Blinded caregivers,High
Replication,Hoda 2013,Blinded caregivers,Unclear,,Original,Hoda 2013,Blinded caregivers,Low
Replication,Pignataro 2013,Blinded caregivers,Unclear,,Original,Pignataro 2013,Blinded caregivers,High
Replication,Qi 2016,Blinded caregivers,Unclear,,Original,Qi 2016,Blinded caregivers,Unclear
Replication,Chen 2018,Blinded caregivers,Unclear,,Original,Chen 2018,Blinded caregivers,Unclear
Replication,Chen 2018b,Blinded caregivers,Unclear,,Original,Chen 2018b,Blinded caregivers,High
Replication,Xia 2016,Blinded caregivers,Unclear,,Original,Xia 2016,Blinded caregivers,Unclear
Replication,Liang 2018,Blinded caregivers,Unclear,,Original,Liang 2018,Blinded caregivers,Unclear
